n_jobs  ThreadPoolExecutor(s)  ProcessPoolExecutor(s)
----------------------------------------------------
     1                0.8862                  0.8850
     2                0.8852                  0.5203
     3                0.8880                  0.3650
     4                0.8839                  0.2974
     5                0.8970                  0.2600
     6                0.9011                  0.2428
     7                0.9013                  0.2212
     8                0.9496                  0.1965
     9                0.8917                  0.2267
    10                0.9168                  0.2700
    11                0.9030                  0.2407
    12                0.8859                  0.2268
    13                0.8888                  0.2546
    14                0.8862                  0.2459
    15                0.8895                  0.2531
    16                0.8853                  0.2659
    17                0.8908                  0.2729
    18                0.8999                  0.2997
    19                0.9048                  0.2938
    20                0.8893                  0.3066
